id,bite_date,SpeciesIDDesc,BreedIDDesc,breed,GenderIDDesc,color,vaccination_yrs,vaccination_date,victim_zip,AdvIssuedYNDesc,WhereBittenIDDesc,quarantine_date,DispositionIDDesc,head_sent_date,release_date,ResultsIDDesc,FollowupYNDesc,OBJECTID
518378,2012/06/30 00:00:00,SKUNK,,SKUNK,MALE,,,,40245,,BODY,,,,,,NO,0
518378,2012/06/30 00:00:00,SKUNK,,SKUNK,MALE,,,,40245,,BODY,,,,,,YES,1
527953,2012/12/11 00:00:00,DOG,,STAFFORSDHIRE,MALE,BRINGLE,,,,,BODY,,,,,,NO,2
527953,2012/12/11 00:00:00,DOG,,STAFFORSDHIRE,MALE,BRINGLE,,,,,BODY,,,,,,YES,3
577969,2015/03/14 00:00:00,DOG,,,,WHITE,,,,,BODY,,,,,,NO,4
577969,2015/03/14 00:00:00,DOG,,,,WHITE,,,,,BODY,,,,,,YES,5
585126,2015/06/27 00:00:00,DOG,LABRADOR RETRIV,MIX,MALE,YELLO,1,2015/02/27 00:00:00,40205,NO,UNKNOWN,,,,,,NO,6
585126,2015/06/27 00:00:00,DOG,LABRADOR RETRIV,MIX,MALE,YELLO,1,2015/02/27 00:00:00,40205,NO,UNKNOWN,,,,,,YES,7
605326,2016/05/21 00:00:00,DOG,COON HOUND,,UNKNOWN,BLK/TAN,1,2015/06/25 00:00:00,40223,,BODY,,,,2016/05/31 00:00:00,,NO,8
605326,2016/05/21 00:00:00,DOG,COON HOUND,,UNKNOWN,BLK/TAN,1,2015/06/25 00:00:00,40223,,BODY,,,,2016/05/31 00:00:00,,YES,9
613464,2016/08/30 00:00:00,BAT,,BAT,,BRN,,,40217,,UNKNOWN,,,,,,NO,10
613464,2016/08/30 00:00:00,BAT,,BAT,,BRN,,,40217,,UNKNOWN,,,,,,YES,11
613467,2016/08/30 00:00:00,BAT,,BAT,UNKNOWN,BRN,,,40206,,UNKNOWN,,,2016/08/30 00:00:00,,NEGATIVE,NO,12
613467,2016/08/30 00:00:00,BAT,,BAT,UNKNOWN,BRN,,,40206,,UNKNOWN,,,2016/08/30 00:00:00,,NEGATIVE,YES,13
632423,2017/06/28 00:00:00,DOG,SHIH TZU,,MALE,BLK WHT,,,40216,,BODY,,,,2017/07/10 00:00:00,,NO,14
632423,2017/06/28 00:00:00,DOG,SHIH TZU,,MALE,BLK WHT,,,40216,,BODY,,,,2017/07/10 00:00:00,,YES,15
633064,2017/07/11 00:00:00,DOG,GERM SHEPHERD,,MALE,BLK BRN,,,40219,,HEAD,,,,,,NO,16
633064,2017/07/11 00:00:00,DOG,GERM SHEPHERD,,MALE,BLK BRN,,,40219,,HEAD,,,,,,YES,17
634104,2017/07/24 00:00:00,DOG,PIT BULL,,FEMALE,BRN,,,40291,,BODY,,,,,,NO,18
634104,2017/07/24 00:00:00,DOG,PIT BULL,,FEMALE,BRN,,,40291,,BODY,,,,,,YES,19
634260,2017/07/24 00:00:00,DOG,BEAGLE,,MALE,WHT BRN,,,40218,,BODY,,,,,,NO,20
634260,2017/07/24 00:00:00,DOG,BEAGLE,,MALE,WHT BRN,,,40218,,BODY,,,,,,YES,21
